,underlying_price,base_volatility,skew,kurtosis
2016-07-19,16723.31,0.2753046724137931,0.02210315517241379,0.003292577586206935
2016-07-20,16681.89,0.2674030804597701,0.020972224137930984,0.005088014367816085
2016-07-21,16810.22,0.28504511494252877,0.01666706896551723,0.005868109195402316
2016-07-22,16627.25,0.2756159827586207,0.030503758620689658,0.004284982758620659
2016-07-25,16620.29,0.2791815344827586,0.03331055172413794,0.002764879310344859
2016-07-26,16383.04,0.2834400344827586,0.040670482758620674,0.004596844827586211
2016-07-27,16664.82,0.29125418965517247,0.026464310344827546,-0.0015871551724138677
2016-07-28,16476.84,0.28867229310344833,0.05304353448275867,0.00615719827586203
2016-07-29,16569.27,0.24337413793103452,0.01700387931034486,0.0022078534482758427
2016-08-01,16635.77,0.22424313793103448,0.03356043103448278,0.009978543103448284
2016-08-03,16083.11,0.2289513275862069,0.04084858620689655,0.004704051724137903
2016-08-04,16254.89,0.22077820689655173,0.035989137931034476,0.0005828103448276001
2016-08-05,16254.45,0.1992520172413793,0.036626913793103455,0.004573629310344829
2016-08-08,16650.57,0.1779521551724138,0.028234655172413775,0.008803482758620695
2016-08-09,16764.97,0.17892100000000002,0.030036000000000007,0.0031674999999999898
2016-08-12,16919.92,0.16433668571428572,0.0299306857142857,0.0076609142857142765
2016-08-15,16869.56,0.16954135714285715,0.031083857142857163,0.008101342857142868
2016-08-16,16596.51,0.1780194,0.03066930000000001,0.007096949999999991
2016-08-17,16745.64,0.1746668,0.03251297619047619,0.0064533880952380995
2016-08-18,16486.01,0.18957698571428572,0.03086145714285715,0.007909200000000005
2016-08-19,16545.82,0.18686550000000002,0.03861799999999996,0.007226642857142862
2016-08-22,16598.19,0.1860826857142857,0.0400010476190476,0.004205723809523804
2016-08-23,16497.36,0.1891546,0.030546000000000018,0.005387000000000003
2016-08-24,16597.3,0.18709385714285715,0.042613047619047606,0.008534952380952365
2016-08-25,16555.95,0.18963637142857143,0.04263262857142858,0.010019857142857136
2016-08-26,16360.71,0.19995578571428574,0.015944100000000017,0.0070761499999999755
2016-08-29,16737.49,0.1997365,0.030569642857142865,0.006916250000000013
2016-08-30,16725.36,0.1922397,0.023245900000000014,0.00747565
2016-08-31,16887.4,0.1914657857142857,0.024495199999999967,0.00798045714285714
2016-09-01,16926.84,0.19834321428571428,0.023878857142857146,0.006606799999999996
2016-09-02,16925.68,0.21007722857142858,0.02461464285714282,0.0037177357142857137
2016-09-05,17037.63,0.20575442857142856,0.026351414285714247,0.006987578571428593
2016-09-06,17081.98,0.2019075,0.020977700000000044,0.009471850000000004
2016-09-07,17012.44,0.20027662857142858,0.02780515714285714,0.011634592857142856
2016-09-08,16958.77,0.19527471428571427,0.037286285714285716,0.015010571428571456
2016-09-09,16965.76,0.18879600000000002,0.026546499999999973,0.004271749999999991
2016-09-12,16672.92,0.212605,0.04485850000000002,0.007871249999999996
2016-09-13,16729.04,0.1964985,0.03829799999999997,0.010878000000000027
2016-09-14,16614.24,0.20510876785714288,0.04004971428571427,0.004344249999999994
2016-09-15,16405.01,0.21237060714285716,0.045079428571428576,0.014276750000000005
2016-09-16,16519.29,0.20705782142857143,0.04883089880952382,0.01251842559523808
2016-09-20,16492.15,0.21229158333333334,0.04422249999999997,0.00926379166666666
2016-09-21,16807.62,0.1838152142857143,0.02132542857142855,0.006489214285714279
2016-09-23,16754.02,0.16427967857142856,0.039575857142857135,0.006607928571428612
2016-09-26,16544.56,0.17689821428571428,0.04287028571428575,0.005745982142857153
2016-09-27,16683.93,0.17302633333333334,0.037759249999999994,0.004444541666666635
2016-09-28,16465.4,0.17955592857142855,0.03854003571428574,0.003890714285714303
2016-09-29,16693.71,0.17023457142857146,0.024004499999999984,0.007825035714285666
2016-09-30,16449.84,0.18888267857142857,0.04491825000000002,0.008873535714285702
2016-10-03,16598.67,0.18099078571428573,0.041995000000000005,0.0042440714285714165
2016-10-04,16735.65,0.174867,0.039382874999999956,0.0052988125000000275
2016-10-05,16819.24,0.17858082142857143,0.03201396428571429,0.0041360178571428485
2016-10-06,16899.1,0.17911355357142858,0.03252885714285714,0.006352410714285689
2016-10-07,16860.09,0.18281742857142858,0.036717857142857135,0.0030297142857143022
2016-10-11,17024.76,0.17413650000000003,0.03553099999999998,0.006583999999999979
2016-10-14,16856.37,0.17666769642857144,0.051484821428571415,0.006256857142857147
2016-10-17,16900.12,0.17477182142857145,0.04448385714285713,0.0053183571428571386
2016-10-18,16963.61,0.16902224999999999,0.03977612500000002,0.003679937500000008
2016-10-19,16998.91,0.1681285714285714,0.03921185714285713,0.005144714285714336
2016-10-20,17235.5,0.16010128571428572,0.04866387500000002,0.005648276785714279
2016-10-21,17184.59,0.16141710714285717,0.02739146428571429,0.005445303571428528
2016-10-24,17234.42,0.1655046964285714,0.03278962500000002,0.006243723214285735
2016-10-25,17365.25,0.16299875,0.027558000000000027,0.004778249999999984
2016-10-26,17391.84,0.1567122142857143,0.04081344642857143,0.008156473214285698
2016-10-27,17336.42,0.1610387857142857,0.031639928571428555,0.006428750000000011
2016-10-28,17446.41,0.160462125,0.026450678571428576,0.00418626785714285
2016-10-31,17425.02,0.16983878571428573,0.038169142857142874,0.005490785714285684
2016-11-01,17442.4,0.1706465,0.046027750000000034,0.009595500000000007
2016-11-02,17134.68,0.20116917857142858,0.0638599642857143,0.009467232142857163
2016-11-04,16905.36,0.22835807142857145,0.07120714285714291,0.007321357142857143
2016-11-07,17177.21,0.21173878571428573,0.055490946428571414,0.007217758928571405
2016-11-08,17171.38,0.199251,0.051221499999999975,0.008188749999999995
